temperature in °C,description,date
28,Partly cloudy,2022-12-21T12:48:03.468Z
28,Partly cloudy,2022-12-21T11:24:17.064Z
29,Partly cloudy,2022-12-21T09:27:24.079Z
29,Partly cloudy,2022-12-21T07:25:04.380Z
29,Partly cloudy,2022-12-21T06:32:33.507Z
28,Partly cloudy,2022-12-21T05:26:58.903Z
28,Partly cloudy,2022-12-21T04:32:55.453Z
28,Partly cloudy,2022-12-21T03:28:49.903Z
28,Partly cloudy,2022-12-21T02:43:42.209Z
24,Partly cloudy,2022-12-21T01:46:35.275Z
24,Partly cloudy,2022-12-20T23:26:27.872Z
24,Partly cloudy,2022-12-20T22:28:35.539Z
25,Partly cloudy,2022-12-20T21:25:24.821Z
25,Partly cloudy,2022-12-20T20:28:15.755Z
25,Partly cloudy,2022-12-20T19:24:20.390Z
25,Partly cloudy,2022-12-20T18:32:03.726Z
26,Partly cloudy,2022-12-20T17:27:06.529Z
28,Thunderstorm,2022-12-20T14:29:42.035Z
28,Thunderstorm,2022-12-20T13:31:28.628Z
28,Thunderstorm,2022-12-20T12:47:57.140Z
28,Thunderstorm,2022-12-20T11:24:15.353Z
31,Rain shower,2022-12-20T09:27:52.709Z
31,Rain shower,2022-12-20T07:25:02.616Z
28,Partly cloudy,2022-12-20T05:27:03.822Z
28,Partly cloudy,2022-12-20T04:32:30.885Z
28,Partly cloudy,2022-12-20T03:28:25.927Z
28,Partly cloudy,2022-12-20T02:46:28.983Z
24,Partly cloudy,2022-12-20T01:51:15.641Z
24,Partly cloudy,2022-12-19T23:27:55.101Z
24,Partly cloudy,2022-12-19T22:28:23.802Z
24,Partly cloudy,2022-12-19T21:25:38.616Z
24,Partly cloudy,2022-12-19T20:28:57.376Z
24,Partly cloudy,2022-12-19T19:24:22.523Z
25,Partly cloudy,2022-12-19T17:27:06.414Z
25,Partly cloudy,2022-12-19T15:31:25.133Z
27,Partly cloudy,2022-12-19T14:28:54.331Z
27,Partly cloudy,2022-12-19T13:31:19.793Z
27,Partly cloudy,2022-12-19T12:48:00.273Z
27,Partly cloudy,2022-12-19T11:24:33.548Z
26,Light rain shower,2022-12-19T09:27:13.867Z
26,Light rain shower,2022-12-19T08:32:36.792Z
26,Light rain shower,2022-12-19T07:25:01.652Z
26,Light rain shower,2022-12-19T05:26:58.791Z
26,Light rain shower,2022-12-19T03:28:41.777Z
25,Partly cloudy,2022-12-19T02:42:20.815Z
25,Partly cloudy,2022-12-19T01:45:40.366Z
25,Partly cloudy,2022-12-18T23:26:38.335Z
26,Partly cloudy,2022-12-18T22:27:02.015Z
26,Partly cloudy,2022-12-18T21:24:20.449Z
26,Partly cloudy,2022-12-18T20:26:28.137Z
26,Partly cloudy,2022-12-18T19:24:20.084Z
26,Partly cloudy,2022-12-18T18:29:52.193Z
26,Partly cloudy,2022-12-18T17:26:00.393Z
26,Partly cloudy,2022-12-18T16:36:20.485Z
26,Partly cloudy,2022-12-18T15:26:13.775Z
26,Partly cloudy,2022-12-18T14:25:28.259Z
26,Partly cloudy,2022-12-18T13:28:02.165Z
26,Partly cloudy,2022-12-18T12:44:26.678Z
26,Partly cloudy,2022-12-18T11:24:22.486Z
29,Partly cloudy,2022-12-18T10:28:33.865Z
29,Partly cloudy,2022-12-18T09:25:13.381Z
29,Partly cloudy,2022-12-18T07:24:33.780Z
29,Partly cloudy,2022-12-18T06:30:58.046Z
29,Partly cloudy,2022-12-18T05:25:57.756Z
29,Partly cloudy,2022-12-18T04:31:45.361Z
29,Partly cloudy,2022-12-18T03:28:14.421Z
25,Partly cloudy,2022-12-18T02:43:32.319Z
25,Partly cloudy,2022-12-18T01:48:43.749Z
25,Partly cloudy,2022-12-17T23:25:57.104Z
25,Partly cloudy,2022-12-17T22:27:05.989Z
25,Partly cloudy,2022-12-17T21:24:15.404Z
25,Partly cloudy,2022-12-17T20:26:12.761Z
25,Partly cloudy,2022-12-17T19:24:23.769Z
26,Partly cloudy,2022-12-17T18:29:49.364Z
26,Partly cloudy,2022-12-17T17:25:23.220Z
26,Partly cloudy,2022-12-17T16:35:55.021Z
26,Partly cloudy,2022-12-17T15:26:11.185Z
26,Partly cloudy,2022-12-17T14:25:32.526Z
26,Partly cloudy,2022-12-17T13:27:41.670Z
26,Partly cloudy,2022-12-17T12:44:09.782Z
28,"Light rain shower, rain with thunderstorm",2022-12-17T11:24:30.242Z
28,"Light rain shower, rain with thunderstorm",2022-12-17T10:28:21.235Z
28,"Light rain shower, rain with thunderstorm",2022-12-17T09:25:09.772Z
28,"Light rain shower, rain with thunderstorm",2022-12-17T08:31:00.038Z
30,Partly cloudy,2022-12-17T07:24:13.434Z
30,Partly cloudy,2022-12-17T06:30:59.921Z
30,Partly cloudy,2022-12-17T05:25:48.067Z
30,Partly cloudy,2022-12-17T04:32:11.637Z
25,Partly cloudy,2022-12-17T03:28:00.033Z
25,Partly cloudy,2022-12-17T02:40:48.050Z
25,Partly cloudy,2022-12-17T01:46:10.080Z
26,Partly cloudy,2022-12-16T23:27:00.454Z
26,Partly cloudy,2022-12-16T22:28:05.954Z
26,Partly cloudy,2022-12-16T21:25:09.007Z
26,Partly cloudy,2022-12-16T20:27:41.104Z
26,Partly cloudy,2022-12-16T19:24:25.600Z
26,Partly cloudy,2022-12-16T17:26:29.541Z
26,Partly cloudy,2022-12-16T16:38:51.730Z
26,Partly cloudy,2022-12-16T15:30:00.307Z
26,Partly cloudy,2022-12-16T14:27:05.171Z
26,Partly cloudy,2022-12-16T13:29:59.684Z
26,Partly cloudy,2022-12-16T12:51:13.782Z
26,Partly cloudy,2022-12-16T11:56:00.928Z
30,Partly cloudy,2022-12-16T10:56:05.865Z
30,Partly cloudy,2022-12-16T09:56:07.903Z
30,Partly cloudy,2022-12-16T08:56:01.831Z
30,Partly cloudy,2022-12-16T07:56:17.520Z
29,Partly cloudy,2022-12-16T05:56:12.140Z
29,Partly cloudy,2022-12-16T04:56:17.324Z
29,Partly cloudy,2022-12-16T03:56:09.627Z
24,Partly cloudy,2022-12-16T02:56:01.289Z
24,Partly cloudy,2022-12-16T01:59:41.023Z
24,Partly cloudy,2022-12-15T23:56:08.909Z
24,Partly cloudy,2022-12-15T22:56:09.602Z
24,Partly cloudy,2022-12-15T21:56:10.222Z
24,Partly cloudy,2022-12-15T20:56:17.887Z
25,Partly cloudy,2022-12-15T19:56:11.280Z
25,Partly cloudy,2022-12-15T18:56:13.421Z
25,Partly cloudy,2022-12-15T17:56:15.177Z
25,Partly cloudy,2022-12-15T16:57:11.419Z
25,Partly cloudy,2022-12-15T15:56:06.672Z
25,Partly cloudy,2022-12-15T14:56:15.172Z
25,Partly cloudy,2022-12-15T13:56:06.951Z
25,Partly cloudy,2022-12-15T13:20:23.142Z
